timestamp,close,high,low,oi,open,volume
2025-10-06 10:00:00+05:30,263.6,266.5,260.35,4784925,261.0,105000
2025-10-06 10:05:00+05:30,263.1,263.8,259.0,4774875,263.55,58350
2025-10-06 10:10:00+05:30,268.55,270.1,260.15,4778250,262.5,87600
2025-10-06 10:15:00+05:30,269.8,270.95,267.9,4767525,269.75,67950
2025-10-06 10:20:00+05:30,271.8,275.9,267.6,4797225,269.8,156750
2025-10-06 10:25:00+05:30,267.8,274.45,267.25,4794000,271.8,58875
2025-10-06 10:30:00+05:30,275.85,277.5,265.5,4778625,267.8,121950
2025-10-06 10:35:00+05:30,278.45,281.7,272.85,4790700,275.85,119550
2025-10-06 10:40:00+05:30,273.25,278.5,272.5,4790475,278.45,66375
2025-10-06 10:45:00+05:30,270.7,275.0,267.0,4784100,273.25,57150
2025-10-06 10:50:00+05:30,274.65,274.65,265.15,4779525,270.7,67950
2025-10-06 10:55:00+05:30,277.9,280.05,273.9,4774650,274.0,161175
2025-10-06 11:00:00+05:30,277.7,281.15,275.5,4792200,277.9,79425
2025-10-06 11:05:00+05:30,277.9,280.0,274.0,4790025,277.7,35325
2025-10-06 11:10:00+05:30,284.2,285.1,276.15,4787925,277.9,189375
2025-10-06 11:15:00+05:30,280.6,286.3,276.05,4786800,284.2,160275
2025-10-06 11:20:00+05:30,282.95,286.1,280.6,4769175,280.6,96450
2025-10-06 11:25:00+05:30,294.75,294.75,282.3,4765650,282.95,111075
2025-10-06 11:30:00+05:30,294.15,296.2,291.6,4730550,294.55,66375
2025-10-06 11:35:00+05:30,294.0,294.25,289.2,4718025,294.15,100800
2025-10-06 11:40:00+05:30,294.45,299.0,293.35,4702800,294.0,118125
2025-10-06 11:45:00+05:30,293.7,296.0,289.8,4688400,294.45,80025
2025-10-06 11:50:00+05:30,286.45,293.75,286.45,4685325,293.7,101550
2025-10-06 11:55:00+05:30,286.4,291.95,283.5,4695075,286.0,86100
2025-10-06 12:00:00+05:30,292.15,294.95,286.4,4686900,286.4,67875
2025-10-06 12:05:00+05:30,293.95,295.0,290.05,4685325,292.15,77250
2025-10-06 12:10:00+05:30,295.95,295.95,290.15,4680675,293.95,58425
2025-10-06 12:15:00+05:30,298.2,300.0,294.25,4674600,295.95,174900
2025-10-06 12:20:00+05:30,298.6,299.3,295.05,4677975,299.0,60675
2025-10-06 12:25:00+05:30,296.55,299.0,295.5,4686750,298.6,56625
2025-10-06 12:30:00+05:30,294.3,296.95,291.25,4711200,296.55,65025
2025-10-06 12:35:00+05:30,295.5,295.5,293.0,4711425,294.3,39150
2025-10-06 12:40:00+05:30,299.2,299.3,294.0,4698750,295.0,57975
2025-10-06 12:45:00+05:30,302.35,305.45,299.05,4729050,299.2,173400
2025-10-06 12:50:00+05:30,305.2,307.75,301.4,4725000,301.7,98100
2025-10-06 12:55:00+05:30,312.75,313.0,304.75,4701825,305.2,141225
2025-10-06 13:00:00+05:30,319.0,319.05,312.0,4683150,313.3,97650
2025-10-06 13:05:00+05:30,328.7,329.0,318.0,4663275,319.0,110250
2025-10-06 13:10:00+05:30,327.95,331.0,322.1,4632075,328.7,136725
2025-10-06 13:15:00+05:30,325.0,330.4,323.15,4603125,327.95,105000
2025-10-06 13:20:00+05:30,324.6,327.95,323.55,4604250,325.0,50775
2025-10-06 13:25:00+05:30,340.6,340.6,324.8,4600650,324.8,154350
2025-10-06 13:30:00+05:30,351.95,357.45,341.0,4603575,341.0,293250
2025-10-06 13:35:00+05:30,354.35,356.55,351.0,4557375,351.95,140700
2025-10-06 13:40:00+05:30,346.0,355.0,345.55,4539225,354.15,68100
2025-10-06 13:45:00+05:30,334.65,348.75,333.6,4509225,346.0,121575
2025-10-06 13:50:00+05:30,338.2,340.0,325.0,4491825,334.65,125550
2025-10-06 13:55:00+05:30,342.95,343.85,336.25,4484850,338.2,101400
2025-10-06 14:00:00+05:30,335.2,345.6,335.2,4481400,342.95,42225
2025-10-06 14:05:00+05:30,333.65,338.15,330.35,4475100,335.2,60525
2025-10-06 14:10:00+05:30,333.75,336.0,330.1,4479450,332.85,38850
2025-10-06 14:15:00+05:30,327.5,334.2,324.8,4469250,333.75,102825
2025-10-06 14:20:00+05:30,333.05,334.75,327.65,4449375,327.65,34800
2025-10-06 14:25:00+05:30,329.6,337.7,326.5,4447650,333.05,43650
2025-10-06 14:30:00+05:30,335.7,338.15,328.0,4449675,328.4,44400
2025-10-06 14:35:00+05:30,338.15,339.4,334.35,4446750,335.7,38775
2025-10-06 14:40:00+05:30,334.65,338.6,332.45,4443525,338.15,22875
2025-10-06 14:45:00+05:30,331.45,336.85,327.0,4442550,334.65,45000
2025-10-06 14:50:00+05:30,336.9,345.5,329.7,4434375,331.45,88125
2025-10-06 14:55:00+05:30,340.5,342.0,336.9,4428075,336.9,48225
2025-10-06 15:00:00+05:30,333.0,341.05,332.2,4424025,340.75,60525
2025-10-06 15:05:00+05:30,341.55,342.15,333.0,4428300,333.0,58800
2025-10-06 15:10:00+05:30,336.85,342.95,336.75,4437900,341.35,70950
2025-10-06 15:15:00+05:30,343.2,343.2,336.45,4332450,337.0,317625
2025-10-06 15:20:00+05:30,336.25,343.0,336.1,4300725,342.0,146925
2025-10-06 15:25:00+05:30,337.0,339.9,333.45,4282650,336.25,133350
